날짜,설명,카테고리,금액,메모
2026-05-01,스타벅스 강남R점,카페,5800,아메리카노+크루아상
2026-05-01,GS25 역삼점,생활,3200,
2026-05-02,쿠팡,쇼핑,42900,생수 2박스
2026-05-02,김밥천국,식비,7500,점심
2026-05-03,넷플릭스,구독,13500,프리미엄
2026-05-03,이마트 성수점,생활,68400,장보기
2026-05-04,카카오T 택시,교통,9300,야근 귀가
2026-05-05,투썸플레이스,카페,12400,디저트
2026-05-06,배달의민족,식비,23000,저녁 배달
2026-05-07,올리브영,쇼핑,31200,스킨케어
2026-05-08,지하철 정기권,교통,62000,
2026-05-09,교보문고,문화,28500,서적 2권
2026-05-10,스타벅스 선릉점,카페,6100,라떼
2026-05-10,한솥도시락,식비,5300,점심
2026-05-11,CGV 용산,문화,15000,영화
2026-05-12,쿠팡,쇼핑,18900,생필품
2026-05-13,약국,의료,8400,상비약
2026-05-14,스시오마카세,식비,89000,기념일 외식
2026-05-15,통신요금 SKT,공과금,55000,휴대폰
2026-05-16,GS25,생활,4100,간식
2026-05-17,메가커피,카페,2500,아메리카노
2026-05-18,다이소 강남점,생활,12300,주방용품
2026-05-19,버스 교통카드 충전,교통,30000,
2026-05-20,배달의민족,식비,19500,점심 배달
2026-05-21,유튜브 프리미엄,구독,14900,
2026-05-22,이디야커피,카페,4300,
2026-05-23,무신사,쇼핑,79000,여름 셔츠
2026-05-24,홈플러스,생활,53700,주간 장보기
2026-05-25,전기요금,공과금,38600,5월분
2026-05-26,스타벅스 역삼점,카페,5800,
2026-05-27,맘스터치,식비,8900,저녁
2026-05-28,병원 진료비,의료,15000,내과
2026-05-29,카카오T 택시,교통,7800,
2026-05-30,쿠팡,쇼핑,24500,생활용품
2026-05-30,교보문고,문화,16800,잡지
2026-05-31,배달의민족,식비,27000,주말 저녁
2026-05-31,스타벅스 강남R점,카페,6400,주말 카페
